__Input,Ned,Eng
ASSEMBLY_TUTORIAL_01,Vandaag zullen we aan jouw assemblage skills werken. Hiervoor zal je drie assemblages moeten voltooien. Maar laten we eerst de werkplek verkennen.\n\nDruk op de knop hieronder om te beginnen.,Today we will work on your assembly skills. For this you will complete 2 assemblies. Let's explore the workplace first.\n\nPress the button below to start
ASSEMBLY_TUTORIAL_02,Laten we even kijken naar de blok die voor je op tafel ligt.\n\nGebruik één van je handschoenen om het stuk op te pakken.,Let's have a look at the workpiece in front of you.\n\nUse the trigger on one of your controllers to pick it up.
ASSEMBLY_TUTORIAL_03,"Je kan het blokje overdragen van één hand tot de andere, je kan het ook laten vallen en weer oppakken.\n\nBreng het stuk naar het punt aangegeven op de tafel en open je hand om het vast te steken.",You can pass the workpiece from one hand to the other. You can drop it and pick back up as well.\n\nMove the workpiece to the indicated spot on the table to attach it to the assembly.
ASSEMBLY_TUTORIAL_04,Het volgende blokje is nu op de tafel verschenen.\n\nPak het stuk op en maak het vast op de assemblage zoals hieronder aangegeven.,The next piece has appeared on the table.\n\nGrab the piece and attach it to the assembly as shown below.
ASSEMBLY_TUTORIAL_05,"Dit stuk is niet juist vastgemaakt! Zorg dat het stuk ongeveer rechstaat en dat je het niet achterstevoren hebt vastgemaakt, het kleine blokje moet namelijk weg wijzen van de rest van de assemblage.\n\nPak het blokje weer op en probeer opnieuw.",This piece has been attached incorrectly! Make sure that it sits upright and you did not attach it backwards. The small white block should point in the opposite direction of the rest of the assembly.\n\nPick the piece up and try again.
ASSEMBLY_TUTORIAL_06,Goed gedaan! Het stuk is juist vastgemaakt.\n\nDruk op de de bevestigingsknop om verder te gaan.,Well done! You have mounted the piece correctly.\n\nPress confirm to continue to the next step.
ASSEMBLY_TUTORIAL_07,"Tijdens het experiment zullen we aanvullende feedback vragen, je moet enkel aangeven hoe moeilijk je het vond om de juiste positie te vinden voor het laatste geplaatste stuk.\n\nGeef eender welke feedback aan om verder te gaan.",
ASSEMBLY_TUTORIAL_08,We geven je nu de overige stukjes en de robot helper. Deze robotarm helpt je tijdens de assembladge door je telkens het volgende stuk aan te reiken.\n\nNeem het stuk aan van de robot.,The next pieces will be handed to you by our robot helper. This robot arm helps you in this assembly by handing you the next assembly pieces.\n\nPick up the the piece the robot is offering.
ASSEMBLY_TUTORIAL_09,Oei! Het laatste stukje is uit je onhandige grip ge‰jecteerd. Gelukkig kan je op de reset knop duwen om alle stukjes terug naar de tafel te brengen.\n\nEveneens zal de robotarm je opnieuw het juiste stukje aanreiken. ,The piece got catapulted away! Press the reset button to place the pieces back on the worktable.\n\nThe robot will offer you the piece again when the reset button is pressed.
ASSEMBLY_TUTORIAL_10,Plaats het derde stuk op de assemblage zoals aangegeven.\n\nDuw op de bevestigingsknop wanneer je tevreden bent.,Place the third piece on the assembly as indicated below.\n\nPress confirm when you want to proceed.
ASSEMBLY_TUTORIAL_11,"Merk op dat de robotarm je soms beter kan helpen, door ook de juiste positie en/of rotatie van het volgende blokje aan te geven. Plaats het vierde stuk op de assemblage zoals aangegeven.\n\nDuw op de bevestigingsknop wanneer je tevreden bent.",Please note that the robot can help you by handing you the piece in the right location and rotation. Place the fouth piece on the assembly as indicated.\n\nPress confirm when you want to proceed.
ASSEMBLY_TUTORIAL_12,Plaats het vijfde stuk op de assemblage zoals aangegeven.\n\nDuw op de bevestigingsknop wanneer je tevreden bent.,Place the fifth piece on the assembly as indicated below.\n\nPress confirm when you want to proceed.
ASSEMBLY_TUTORIAL_13,Plaats het laatste stuk op de assemblage zoals aangegeven.\n\nDuw op de bevestigingsknop wanneer je tevreden bent.,Place the last piece on the assembly as indicated below.\n\nPress confirm when you want to proceed.
ASSEMBLY_TUTORIAL_14,Klaar!,Finished!
ASSEMBLY_TUTORIAL_15,Je hebt deze assemblage voltooid.\n\nDruk op de bevestigingsknop wanneer je klaar bent om aan het echte experiment te beginnen.,You have completed this assembly.\n\nPress confirm when you are ready to start the main assembly.
ASSEMBLY_WELCOME,Welkom in onze virtuele fabriek!,Welcome in our virtual factory!
ASSEMBLY_INTRODUCTION,Vandaag zullen we aan jouw assemblage skills werken. Hiervoor zal je drie assemblages moeten voltooien. Maar laten we eerst de werkplek verkennen.\n\nDe instructies die volgen komen van de proefleider.,Today we will work on your assembly skills. For this you will complete 2 assemblies. Let's explore the workplace further.\n\nNext instructions will come from the experimentor.
CONGRATULATIONS,Gefeliciteerd!,Congratulations!
ASSEMBLY_CONTINUE,Je hebt de assemblage voltooid.\nDruk op volgende om verder te gaan naar de volgende assemblage.,You have completed the assembly.\nPress next to continue to the next assembly
ASSEMBLY_REVIEW,,Please review the current attachment and confirm when you're satisfied.
ASSEMBLY_FEEDBACK,Hoe moeilijk vond je het om de juiste positie te vinden van het geplaatste stuk?,
ASSEMBLY_PLACE,,"Please place the next piece on the assembly.\nIf you lost the next piece, press the reset button to retrieve it."
VR_BUTTON_CONTINUE,Ga verder,Continue
VR_BUTTON_RESET,Reset,Reset
VR_BUTTON_CONFIRM,Bevst,Confirm
ASSEMBLY_FINISHED,De assemblage is klaar!.\nDank je wel!,The assembly is finished.\nThank you!
ASSEMBLY_SUB_FINISHED,Je hebt assemblage {0} / {1} afgewerkt.\nDuw op de bevestigingsknop om verder te gaan met de volgende assemblage.,You finished assemby {0} / {1}.\nPress the confirm button to continue with the next assembly.
